experiment_key,dataset,model,model_type,train_examples,test_examples,epochs,global_step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,summary_json
20260324T132216169829Z_mfrc_distilbert-base-uncased,mfrc,distilbert-base-uncased,transformer,64,32,1,8,16.0114,3.997,0.5,4239334735872.0,1.879645586013794,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 16.0114, ""train_samples_per_second"": 3.997, ""train_steps_per_second"": 0.5, ""total_flos"": 4239334735872.0, ""train_loss"": 1.879645586013794, ""epoch"": 1.0}"
20260324T132244889388Z_mfrc_bert-base-uncased,mfrc,bert-base-uncased,transformer,64,32,1,8,32.8246,1.95,0.244,8419931750400.0,1.9632304310798645,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 32.8246, ""train_samples_per_second"": 1.95, ""train_steps_per_second"": 0.244, ""total_flos"": 8419931750400.0, ""train_loss"": 1.9632304310798645, ""epoch"": 1.0}"
20260324T132923546156Z_ethics_tfidf_logreg,ethics,tfidf_logreg,sklearn,82110,29492,,,nan,,,,nan,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T132942938494Z_ethics_tfidf_linearsvc,ethics,tfidf_linearsvc,sklearn,82110,29492,,,nan,,,,nan,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T133022545018Z_normbank_tfidf_logreg,normbank,tfidf_logreg,sklearn,124920,15495,,,nan,,,,nan,"{""train_examples"": 124920, ""test_examples"": 15495, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T133038105024Z_normbank_bow_mnb,normbank,bow_mnb,sklearn,124920,15495,,,nan,,,,nan,"{""train_examples"": 124920, ""test_examples"": 15495, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T133051536063Z_mfrc_tfidf_logreg,mfrc,tfidf_logreg,sklearn,12314,3079,,,nan,,,,nan,"{""train_examples"": 12314, ""test_examples"": 3079, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T133105669466Z_ethics_distilbert-base-uncased,ethics,distilbert-base-uncased,transformer,82110,29492,1,10264,19942.7715,4.117,0.515,5438449051822080.0,0.40195019212743777,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": 1, ""global_step"": 10264, ""model_type"": ""transformer"", ""train_runtime"": 19942.7715, ""train_samples_per_second"": 4.117, ""train_steps_per_second"": 0.515, ""total_flos"": 5438449051822080.0, ""train_loss"": 0.40195019212743777, ""epoch"": 1.0}"
20260325T014102529166Z_ethics_distilbert-base-uncased,ethics,distilbert-base-uncased,transformer,82110,29492,1,10264,38690.5552,2.122,0.265,5438449051822080.0,0.4016068042811247,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": 1, ""global_step"": 10264, ""model_type"": ""transformer"", ""train_runtime"": 38690.5552, ""train_samples_per_second"": 2.122, ""train_steps_per_second"": 0.265, ""total_flos"": 5438449051822080.0, ""train_loss"": 0.4016068042811247, ""epoch"": 1.0}"
20260325T135504069343Z_mfrc_distilbert-base-uncased,mfrc,distilbert-base-uncased,transformer,12314,3079,1,1540,10921.36,1.128,0.141,815689044123648.0,1.0404242021696908,"{""train_examples"": 12314, ""test_examples"": 3079, ""epochs"": 1, ""global_step"": 1540, ""model_type"": ""transformer"", ""train_runtime"": 10921.36, ""train_samples_per_second"": 1.128, ""train_steps_per_second"": 0.141, ""total_flos"": 815689044123648.0, ""train_loss"": 1.0404242021696908, ""epoch"": 1.0}"
20260325T014102503166Z_ethics_bert-base-uncased,ethics,bert-base-uncased,transformer,82110,29492,1,10264,86575.7243,0.948,0.119,1.08020243778048e+16,0.38888448868193665,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": 1, ""global_step"": 10264, ""model_type"": ""transformer"", ""train_runtime"": 86575.7243, ""train_samples_per_second"": 0.948, ""train_steps_per_second"": 0.119, ""total_flos"": 1.08020243778048e+16, ""train_loss"": 0.38888448868193665, ""epoch"": 1.0}"
20260325T135503345430Z_mfrc_bert-base-uncased,mfrc,bert-base-uncased,transformer,12314,3079,1,1540,54679.539,0.225,0.028,1620062038450176.0,1.02585562359203,"{""train_examples"": 12314, ""test_examples"": 3079, ""epochs"": 1, ""global_step"": 1540, ""model_type"": ""transformer"", ""train_runtime"": 54679.539, ""train_samples_per_second"": 0.225, ""train_steps_per_second"": 0.028, ""total_flos"": 1620062038450176.0, ""train_loss"": 1.02585562359203, ""epoch"": 1.0}"
20260325T135504193216Z_normbank_distilbert-base-uncased,normbank,distilbert-base-uncased,transformer,124920,15495,1,15615,75412.5264,1.656,0.207,8274061273559040.0,0.0019749941996337803,"{""train_examples"": 124920, ""test_examples"": 15495, ""epochs"": 1, ""global_step"": 15615, ""model_type"": ""transformer"", ""train_runtime"": 75412.5264, ""train_samples_per_second"": 1.656, ""train_steps_per_second"": 0.207, ""total_flos"": 8274061273559040.0, ""train_loss"": 0.0019749941996337803, ""epoch"": 1.0}"
20260325T130806007825Z_ethics_roberta-base,ethics,roberta-base,transformer,82110,29492,1,10264,107515.6232,0.764,0.095,1.08020243778048e+16,0.38894157811987706,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": 1, ""global_step"": 10264, ""model_type"": ""transformer"", ""train_runtime"": 107515.6232, ""train_samples_per_second"": 0.764, ""train_steps_per_second"": 0.095, ""total_flos"": 1.08020243778048e+16, ""train_loss"": 0.38894157811987706, ""epoch"": 1.0}"
20260325T135502526792Z_ethics_microsoft_deberta-v3-base,ethics,microsoft/deberta-v3-base,transformer,82110,29492,1,10264,161488.8755,0.508,0.064,1.080221809959936e+16,0.3208617278122846,"{""train_examples"": 82110, ""test_examples"": 29492, ""epochs"": 1, ""global_step"": 10264, ""model_type"": ""transformer"", ""train_runtime"": 161488.8755, ""train_samples_per_second"": 0.508, ""train_steps_per_second"": 0.064, ""total_flos"": 1.080221809959936e+16, ""train_loss"": 0.3208617278122846, ""epoch"": 1.0}"
20260326T161852570086Z_normbank_bert-base-uncased,normbank,bert-base-uncased,transformer,124920,15495,1,15615,114847.5675,1.088,0.136,1.643406407129088e+16,0.0016436862740654328,"{""train_examples"": 124920, ""test_examples"": 15495, ""epochs"": 1, ""global_step"": 15615, ""model_type"": ""transformer"", ""train_runtime"": 114847.5675, ""train_samples_per_second"": 1.088, ""train_steps_per_second"": 0.136, ""total_flos"": 1.643406407129088e+16, ""train_loss"": 0.0016436862740654328, ""epoch"": 1.0}"
20260326T161852570086Z_normbank_roberta-base,normbank,roberta-base,transformer,124920,15495,1,15615,115371.8678,1.083,0.135,1.643406407129088e+16,0.0020873951769744873,"{""train_examples"": 124920, ""test_examples"": 15495, ""epochs"": 1, ""global_step"": 15615, ""model_type"": ""transformer"", ""train_runtime"": 115371.8678, ""train_samples_per_second"": 1.083, ""train_steps_per_second"": 0.135, ""total_flos"": 1.643406407129088e+16, ""train_loss"": 0.0020873951769744873, ""epoch"": 1.0}"
